Label,SOG,LON,LAT,length,angle_COG,time_difference,velocity(m/s),count,N1_Area,V_Area
2,0,103.76267,1.28925,6.002471597,0,31,0.193628116,1,0.00000222,4.183105469
2,0,103.76268,1.28923,8.474089282,0,39,0.217284341,2,0.0000016,2.7890625
2,0,103.76277,1.28922,13.57301887,0,40,0.339325472,4,0.000002,4.338378906
2,0,103.7628,1.2892,4.008487521,0,22,0.182203978,2,0.00000308,7.064453125
2,0,103.7628,1.28918,5.739389821,0,18,0.31885499,16,0.00000185,3.71875
2,0,103.76272,1.2892,7.893694349,0,31,0.254635302,8,0.00000185,3.71875
2,0,103.76267,1.28922,16.23838773,-93,89,0.182453795,3,0.00000154,2.7890625
2,0,103.76265,1.28927,8.211156526,-6,30,0.273705218,2,0.00000254,5.526367188
2,0.1,103.76263,1.28927,2.223335531,4,31,0.071720501,3,0.00000345,6.556152344
2,0,103.76262,1.28927,31.35730962,-1,30,1.045243654,1,0.00000545,14.7890625
2,0,103.76278,1.28905,39.80938833,16,20,1.990469417,1,0.00000185,3.357421875
2,0,103.76285,1.289,15.5504703,0,40,0.388761757,4,0.00000394,7.283691406
2,0,103.7628,1.28898,15.55047035,0,40,0.388761759,1,0.00000712,11.640625
2,0,103.76273,1.28903,16.68259719,0,20,0.834129859,2,0.00000404,9.5859375
2,0,103.76268,1.28907,26.24791383,0,31,0.846706898,2,0.00000211,4.028808594
0,0,103.76278,1.28893,24.10084488,0,30,0.803361496,1,0.0000367,97.53710938
2,0,103.76282,1.28895,7.458050042,0,29,0.257174139,1,0.0000041,9.194335938
2,0,103.76283,1.28893,11.16996925,0,29,0.385171354,1,0.0000126,19.97021484
0,0,103.76288,1.28887,20.29254958,0,20,1.014627479,1,0.0000849,74.18164063
2,0,103.76285,1.28897,13.83274719,0,22,0.628761236,2,0.00000323,7.065917969
2,0,103.76285,1.28895,16.46239101,0,40,0.411559775,1,0.00000448,9.967773438
2,0,103.76277,1.28905,18.68516393,0,49,0.381329876,5,0.00000264,5.681152344
2,0,103.76273,1.28905,13.34226558,0,30,0.444742186,1,0.00000197,3.71875
2,0,103.76265,1.28915,5.558339092,0,21,0.264682814,3,0.00000246,4.958007813
2,0,103.76265,1.28928,20.44316146,0,21,0.973483879,1,0.00000631,10.11230469
2,0,103.76275,1.28923,8.972667374,0,20,0.448633369,1,0.00000222,4.18359375
2,0,103.76263,1.2891,17.59311913,0,49,0.359043247,4,0.00000308,6.81640625
2,0,103.76268,1.2891,6.232776434,0,19,0.328040865,3,0.00000185,3.718261719
2,0,103.76278,1.2891,9.321727093,0,31,0.300700874,4,0.00000185,3.71875
2,0,103.7628,1.28903,18.86801711,0,41,0.460195539,2,0.00000222,3.71875
2,0,103.76267,1.28903,15.75676789,0,20,0.787838395,1,0.00000215,4.338378906
2,0,103.76257,1.28902,13.65804265,0,19,0.71884435,1,0.000024,32.36230469
2,0,103.76255,1.28903,16.01000661,42,20,0.80050033,1,0.0000386,71.83935547
2,0,103.76267,1.28905,28.64792995,0,81,0.353678148,1,0.00000185,3.977050781
2,0,103.76263,1.28918,21.11053754,-63,80,0.263881719,3,0.00000138,2.7890625
2,0,103.76268,1.2892,8.210059001,0,20,0.41050295,3,0.00000164,3.71875
2,0,103.7627,1.2892,5.368005032,0,19,0.282526581,4,0.00000246,4.958007813
2,0,103.76258,1.28917,21.1627676,0,42,0.503875419,2,0.00000267,4.958496094
2,0,103.76258,1.28912,10.00641766,0,20,0.500320883,1,0.00000209,3.71875
2,0,103.76262,1.28912,10.4333949,0,19,0.549126047,4,0.00000209,3.71875
2,0,103.76267,1.2891,11.54506277,0,21,0.549764894,4,0.00000246,4.958496094
2,0,103.7626,1.28917,23.69392159,0,40,0.59234804,1,0.00000264,6.196289063
2,0,103.7627,1.28907,7.153547436,0,29,0.24667405,2,0.00000208,4.183105469
2,0,103.76282,1.28902,24.28158188,0,22,1.103708267,2,0.00000195,5.370605469
2,0,103.76293,1.28905,13.78685386,0,20,0.689342693,1,0.00000185,3.626464844
2,0,103.76295,1.28905,12.50218817,0,19,0.658009904,2,0.00000483,14.60449219
2,0,103.76303,1.28903,25.35362224,0,30,0.845120741,1,0.0000182,57.00683594
2,0,103.76317,1.28907,26.19144834,0,32,0.818482761,1,0.000525917,746.9833984
2,0,103.76308,1.28907,22.23335707,0,20,1.111667853,1,0.0000146,25.32177734
2,0,103.76297,1.28907,21.7920927,0,20,1.089604635,2,0.00000923,13.9453125
2,0,103.7629,1.28913,14.56181377,0,41,0.35516619,3,0.00000492,8.751953125
2,0,103.76285,1.28912,8.154361866,0,20,0.407718093,1,0.00000172,3.71875
2,0,103.76292,1.28912,17.09759416,0,29,0.589572212,1,0.00000138,3.098632813
2,0,103.76298,1.2891,9.254881272,0,31,0.298544557,1,0.00000853,14.92675781
2,0,103.76298,1.28908,11.65790711,0,20,0.582895356,2,0.00000948,17.4765625
2,0,103.76292,1.28902,22.95812456,0,40,0.573953114,1,0.00000234,3.254394531
2,0,103.7628,1.289,33.53920277,0,40,0.838480069,1,0.00000308,7.8515625
0,0,103.7628,1.28882,54.93077801,6.7,40,1.37326945,1,0.0000545,171.4628906
2,0,103.76292,1.28913,22.06958095,0,40,0.551739524,1,0.00000334,8.625488281
2,0,103.76288,1.28905,17.59311944,0,70,0.251330278,1,0.00000315,6.573242188
2,0,103.76293,1.28907,9.322571472,2,51,0.182795519,2,0.00000292,7.178710938
2,0,103.76293,1.2891,8.894693629,0,31,0.286925601,2,0.00000404,8.779296875
2,0,103.76288,1.28908,11.98203416,0,40,0.299550854,1,0.00000138,2.7890625
2,0,103.76285,1.28907,27.97218418,0,31,0.902328522,4,0.00000316,7.178710938
2,0,103.76307,1.28907,43.64720193,0,39,1.119159024,1,0.0000163,36.80712891
2,0,103.7629,1.2891,21.41384483,0,50,0.428276897,1,0.00000246,4.958007813
